sku,original_name,original_material,proposed_brand,proposed_colour,proposed_material,proposed_name,size,certifications
VEG-CC-9-6,"Vegware 9oz PLA Cold Cup, 76 Series Compostable",pla,Vegware,,PLA,"Cold Cup, 76 Series","",Compostable
VEG-CC-9-7,"Vegware 9oz PLA Cold Cup, 96 Series Compostable",pla,Vegware,,PLA,"Cold Cup, 96 Series","",Compostable
VEG-CC-9-GN,"Vegware 9oz PLA Cold Cup, 96 Series- Green Tree Compostable",pla,Vegware,,PLA,"Cold Cup, 96 Series- Green Tree","",Compostable
VEG-LID-BK-2,Vegware Black CPLA Hot Cup Lid (Fits 79 Series) Compostable,"pla, cpla",Vegware,Black,CPLA,Hot Cup Lid (Fits 79 Series),"",Compostable
VEG-LID-BK,Vegware Black CPLA Hot Cup Lid (Fits 89 Series) Compostable,"pla, cpla",Vegware,Black,CPLA,Hot Cup Lid (Fits 89 Series),"",Compostable
VEG-LID-5,Vegware CPLA Hot Cup Lid (Fits 72 Series) Compostable,"pla, cpla",Vegware,,CPLA,Hot Cup Lid (Fits 72 Series),"",Compostable
VEG-LID-4,Vegware CPLA Hot Cup Lid (Fits 79 Series) Compostable,"pla, cpla",Vegware,,CPLA,Hot Cup Lid (Fits 79 Series),"",Compostable
VEG-LID-3,Vegware CPLA Hot Cup Lid (Fits 89 Series) Compostable,"pla, cpla",Vegware,,CPLA,Hot Cup Lid (Fits 89 Series),"",Compostable
VEG-CC-PN-5,"Vegware Pint to brim PLA cup, UKCA UKNI CE mark,",pla,Vegware,,PLA,Pint to brim cup,"",Compostable
VEG-CC-PN-3,Vegware Pint-to-Brim Paper Cup – UKCA Marked 89-Series,paper,Vegware,,Paper,Pint-to-Brim Cup 89-Series,"",Compostable
VEG-CC,Vegware PLA Combo Lid 96-Series – Compostable Cold Cup Lid,"pla, pp",Vegware,,PLA,Combo Lid 96-Series Cold Cup Lid,"",Compostable
VEG-CC-DL-2,"Vegware PLA Dome Lid, NO HOLE (Fits 76 Series) Compostable",pla,Vegware,,PLA,"Dome Lid, NO HOLE (Fits 76 Series)","",Compostable
VEG-CC-DL-3,"Vegware PLA Dome Lid, STRAW SLOT (Fits 76 Series) Compostable",pla,Vegware,,PLA,"Dome Lid, STRAW SLOT (Fits 76 Series)","",Compostable
VEG-CC-DL,"Vegware PLA Dome Lid, STRAW SLOT (Fits 96 Series) Compostable",pla,Vegware,,PLA,"Dome Lid, STRAW SLOT (Fits 96 Series)","",Compostable
VEG-CC-FL-3,"Vegware PLA Flat Lid, NO HOLE (Fits 76 Series) Compostable",pla,Vegware,,PLA,"Flat Lid, NO HOLE (Fits 76 Series)","",Compostable
VEG-CC-FL-4,"Vegware PLA Flat Lid, STRAW SLOT (Fits 76 Series) Compostable",pla,Vegware,,PLA,"Flat Lid, STRAW SLOT (Fits 76 Series)","",Compostable
VEG-CC-FL-2,"Vegware PLA Flat Lid, STRAW SLOT (Fits 96 Series) Compostable",pla,Vegware,,PLA,"Flat Lid, STRAW SLOT (Fits 96 Series)","",Compostable
VEG-CC-3,Vegware PLA sipping lid fits 96-Series Compostable (Case of 1000),"pla, pp",Vegware,,PLA,sipping lid fits 96-Series,"",Compostable
CTL-SP-NT,6.6in Natural Cornstarch Desert Spoon (Case of 1000),"pla, cornstarch",,,Cornstarch,Natural Desert Spoon,"",Biodegradable
CTL-FK-NT,7in Natural Cornstarch Fork (Case of 1000),"pla, cornstarch",,,Cornstarch,Natural Fork,"",Biodegradable
CTL-KN-NT,7in Natural Cornstarch Knife (Case of 1000),"pla, cornstarch",,,Cornstarch,Natural Knife,"",Biodegradable
CTL-229,Bamboo Chopstick (229mm/9) Paper Wrapped Recyclable/Compostable (Case of 1000),"pla, wood, wooden, plastic",,,Bamboo,Chopstick (/9) Wrapped,210mm,Biodegradable
CTL-6,"Birchwood Cutlery Kit, 4 in 1 Recyclable/Compostable (Case of 250)","paper, pla, wood, wooden",,,,"Birchwood Cutlery Kit, 1","",""
CTL-5,"Birchwood Cutlery Kit, 5 in 1 Recyclable/Compostable (Case of 250)","paper, pla, pp, wood, wooden",,,,"Birchwood Cutlery Kit, 1","",""
CTL-4,"Birchwood Cutlery Kit, 6 in 1 Recyclable/Compostable (Case of 250)","paper, pla, pp, wood, wooden",,,,"Birchwood Cutlery Kit, 1","",""
CTL-SP-4,Compostable 4.25in Mini Wooden Spoon Recyclable/Compostable,wood,,,Wood,Mini Spoon,"",""
CTL,"Cornstarch Cutlery Kit, 3 in 1 (Case of 250)","pla, cornstarch",,,Cornstarch,"Cutlery Kit, 1","",""
CTL-9,"Cornstarch Cutlery Kit, 3 in 1 (Case of 250)","pla, cornstarch",,,Cornstarch,"Cutlery Kit, 1","",""
CTL-8,"Cornstarch Cutlery Kit, 4 in 1 (Case of 250)","pla, cornstarch",,,Cornstarch,"Cutlery Kit, 1","",""
CTL-7,"Cornstarch Cutlery Kit, 5 in 1 (Case of 250)","pla, pp, cornstarch",,,Cornstarch,"Cutlery Kit, 1","",""
CTL-FK-CL,"Heavy Duty Clear Reusable Plastic Forks – Case of 1,000","pla, plastic",,Clear,Plastic,Heavy Duty Reusable Forks,190 mm,""
CTL-KN-CL,"Heavy Duty Clear Reusable Plastic Knives – Case of 1,000","pla, plastic",,Clear,Plastic,Heavy Duty Reusable Knives,190 mm,""
CTL-SP-CL,"Heavy Duty Clear Reusable Plastic Spoons – Case of 1,000","pla, plastic",,Clear,Plastic,Heavy Duty Reusable Spoons,190 mm,""
CTL-125-NT,"Natural Cornstarch Teaspoon – 125mm / 4.9” Reusable Compostable Cutlery (Case of 1,000)",cornstarch,,,Cornstarch,Natural Teaspoon / 4.9” Reusable Cutlery,125mm,Compostable
VEG-CTL-SP-115,Vegware 4.5in / 115mm Paper Teaspoon Compostable (Case of 1000),"paper, pla",Vegware,,Paper,Teaspoon,"",Recyclable
VEG-CTL-FK-4,Vegware 6.2in Compostable Paper Fork Compostable,"paper, pla",Vegware,,Paper,Fork,"",Compostable
VEG-CTL-KN,Vegware 6.2in Compostable Paper Knife Compostable,"paper, pla",Vegware,,Paper,Knife,"",Compostable
VEG-CTL-SP-2,Vegware 6.2in Compostable Paper Spoon Compostable,"paper, pla",Vegware,,Paper,Spoon,"",Compostable
VEG-CTL-3,Vegware Compostable Paper Cutlery Kit (Case of 250),"paper, pla",Vegware,,Paper,Cutlery Kit,"",Compostable
VEG-CTL-SP-90,Vegware Compostable Paper Ice Cream Spoon 3.5in / 90mm (Case of 2000),"paper, pla",Vegware,,Paper,Ice Cream Spoon,"",Recyclable
VEG-CTL-FK,Vegware Compostable paper knife and fork kit (Case of 250),"paper, pla, pp",Vegware,,Paper,knife and fork kit,"",Compostable
VEG-CTL-SP,Vegware Compostable Tutti Frutti Ice Cream Spoon (CASE OF 2000),"paper, pla, plastic",Vegware,,,Tutti Frutti Ice Cream Spoon,"",Compostable
VEG-CTL-10,Vegware Compostable Wooden Cutlery Kit (Case of 250),"kraft, paper, pla, pp, wood, wooden",Vegware,,Wood,Cutlery Kit,"",Compostable
VEG-CTL-FK-2,"Vegware Compostable wooden fork, wrapped (Case of 500)","kraft, paper, pla, pp, wood, wooden",Vegware,,Wood,"fork, wrapped","",Compostable
VEG-CTL-FK-3,Vegware Compostable Wooden Knife and Fork Kit (Case of 250),"kraft, paper, pla, pp, wood, wooden",Vegware,,Wood,Knife and Fork Kit,"",Compostable
CTL-2,Wooden Ice Cream Spade Recyclable/Compostable (Case of 4000),"pla, wood, wooden, plastic",,,Wood,Ice Cream Spade,95mm,Biodegradable
POT-1-CL,1 oz Clear PET Portion Pot Lid – Recyclable,pet,,Clear,,Portion Pot Lid,1 oz,Recyclable
POT-1-CL-2,1 oz Clear PP Portion Pot – Recyclable,pp,,Clear,,Portion Pot,1 oz,Recyclable
CNT-150,150ml-250ml rPET Anti-mist Lid Stagione Recyclable (Case of 500),pp,,,rPET,Anti-mist Lid Stagione,"",Recyclable
SPC-16-KR,16oz Kraft Paper Vented Lids fits 16oz Recyclable (Case of 500),"kraft, paper",,,Kraft,Vented Lids fits,16oz,""
SPC-16,16oz Plastic Vented Lids fits 16oz Recyclable (Case of 500),"pla, plastic",,,Plastic,Vented Lids fits,"8oz, 12oz",""
POT-1-KR-3,1oz Kraft Paper Portion Pot Recyclable (Case of 4000),"kraft, paper",,,Kraft,Portion Pot,"",""
POT-1,1oz Paper Portion Pot Lid (44mm) Recyclable (Case of 2000),"kraft, paper",,,Paper,Portion Pot Lid,"",""
POT-2-CL,2 oz Clear PET Portion Pot Lid – Recyclable,pet,,Clear,,Portion Pot Lid,2 oz,Recyclable
POT-2-CL-2,2 oz Clear PP Portion Pot – Recyclable,pp,,Clear,,Portion Pot,2 oz,Recyclable
BOX-26-WH,26 oz White Food Pail PE-Lined – Leak-Resistant Recyclable,"",,White,,Food Pail PE-Lined Leak-Resistant,26 oz,Recyclable
SPC-26-KR,26oz -32oz Kraft Paper Vented Lids fits 26oz -32oz Recyclable (Case of 500),"kraft, paper",,,Kraft,Vented Lids fits,"26oz, 32oz",""
SPC-26,26oz -32oz Plastic Vented Lids fits 26oz -32oz Recyclable (Case of 500),"pla, plastic",,,Plastic,Vented Lids fits,"26oz, 32oz",""
SPC-26-KR-2,26oz Kraft Heavy Duty Soup Container Recyclable (Case of 500),"kraft, paper, pla, pp, plastic",,,Kraft,Heavy Duty Soup Container,"26oz, 32oz",""
POT-2-3,2oz Bagasse Portion Pot Lid Recyclable/Compostable (Case of 200),"bagasse, pla, fibre",,,Bagasse,Portion Pot Lid,2oz,""
POT-2-KR,2oz Kraft Paper Portion Pot Recyclable (Case of 3000),"kraft, paper",,,Kraft,Portion Pot,"",""
POT-2-2,2oz Souffle Paper Portion Pot Recyclable/Compostable (Case of 5000),"paper, pla",,,Paper,Souffle Portion Pot,2oz,"Compostable, Biodegradable"
POT-2,"2oz, 3oz, 4oz Paper Portion Pot Lid (62mm) Recyclable (Case of 1500)","kraft, paper",,,Paper,Portion Pot Lid,"",""
POT-25-CL,3.25 oz Clear PP Portion Pot – Recyclable,pp,,Clear,,Portion Pot,25 oz,Recyclable
POT-5-CL,3.25/4/5.5 oz Clear PET Portion Pot Lid,pet,,Clear,,3.25/4/ Portion Pot Lid,5 oz,Recyclable
SPC-32-KR,32oz Kraft Heavy Duty Soup Container Recyclable (Case of 500),"kraft, paper, pla, pp, plastic",,,Kraft,Heavy Duty Soup Container,"32oz, 26oz",""
POT-3-KR,3oz Kraft Paper Portion Pot Recyclable (Case of 3000),"kraft, paper",,,Kraft,Portion Pot,"",""
POT-4-CL,4 oz Clear PP Portion Pot – Recyclable,pp,,Clear,,Portion Pot,4 oz,Recyclable
POT-4-2,4oz Bagasse Portion Pot Lid Recyclable/Compostable (Case of 500),"bagasse, pla, fibre",,,Bagasse,Portion Pot Lid,4oz,""
POT-4-KR,4oz Kraft Paper Portion Pot Recyclable (Case of 3000),"kraft, paper",,,Kraft,Portion Pot,"",""
POT-4,4oz Souffle Paper Portion Pot Recyclable/Compostable (Case of 5000),"paper, pla",,,Paper,Souffle Portion Pot,4oz,"Compostable, Biodegradable"
POT-5-CL-2,5.5 oz Clear PP Portion Pot – Recyclable,pp,,Clear,,Portion Pot,5 oz,Recyclable
SPC-8,8oz -12oz Plastic Vented Lids fits 8oz -12oz Recyclable (Case of 500),"pla, plastic",,,Plastic,Vented Lids fits,"8oz, 12oz",""
SPC-8-KR,8oz/12oz Kraft Heavy Duty Lid Recyclable Planetware (Case of 500),"kraft, paper, pp",,,Kraft,Heavy Duty Lid Planetware,"",""
BWL-1300-KR,Extra Large Round Kraft Food Bowl 1300ml Recyclable (Case of 300),"kraft, pp",,,Kraft,Extra Large Round Food Bowl,"",""
CNT-1000-KR,Kraft Food Tray 1000 ml – Recyclable PE-Lined,"kraft, pp",,,Kraft,Food Tray PE-Lined,1000 ml,Recyclable
CNT-1000-KR-2,Kraft Food Tray 1000ml Stagione Recyclable (Case of 300),pp,,,Kraft,Food Tray Stagione,"",Recyclable
CNT-150-KR,Kraft Food Tray 150ml Stagione Recyclable (Case of 500),pp,,,Kraft,Food Tray Stagione,"",Recyclable
CNT-250-KR,Kraft Food Tray 250ml Stagione Recyclable (Case of 500),pp,,,Kraft,Food Tray Stagione,"",Recyclable
CNT-500-KR-3,Kraft Food Tray 500ml Stagione Recyclable (Case of 300),pp,,,Kraft,Food Tray Stagione,"",Recyclable
CNT-650-KR,Kraft Food Tray 650 ml – Recyclable PE-Lined,"kraft, pp",,,Kraft,Food Tray PE-Lined,650 ml,Recyclable
CNT-650-KR-2,Kraft Food Tray 650ml Stagione Recyclable (Case of 300),pp,,,Kraft,Food Tray Stagione,"",Recyclable
CNT-750-KR,Kraft Food Tray 750 ml – Recyclable PE-Lined,"kraft, pp",,,Kraft,Food Tray PE-Lined,750 ml,Recyclable
CNT-750-KR-2,Kraft Food Tray 750ml Stagione Recyclable (Case of 300),pp,,,Kraft,Food Tray Stagione,"",Recyclable
CNT-KR,Kraft PP Lined Lid Stagione Recyclable (Case of 300),pp,,,Kraft,Lined Lid Stagione,"",Recyclable
CNT-500-KR-2,Kraft Rectangle Food Tray 500 ml – Recyclable PE-Lined,pp,,,Kraft,Rectangle Food Tray PE-Lined,"",Recyclable
CNT-500-KR,"Kraft Salad Bowl Lid – Fits 500ml to 1,000ml Containers Recyclable",kraft,,,Kraft,"Salad Bowl Lid Fits to 1, Containers","500ml, 000ml",Recyclable
BWL-1000-KR-3,Large Kraft Round Food Bowl 1000ml Recyclable (Case of 300) (149mm Diameter),"kraft, pla, pet, pp",,,Kraft,Large Round Food Bowl ( Diameter),1000ml,""
FOL-7,No. 1 Aluminium Foil Food Containers Recyclable 250ml/8.7oz (Case of 1000),foil,,,Foil,No. 1 Aluminium Food Containers,33mm,""
FOL-16,No. 2 Aluminium Foil Food Containers Recyclable 470ml/16oz (Case of 1000),foil,,,Foil,No. 2 Aluminium Food Containers,33mm,""
FOL-30,No. 6 Aluminium Foil Food Containers Recyclable 860ml/30oz (Case of 500),foil,,,Foil,No. 6 Aluminium Food Containers,54mm,""
FOL-24,No. 6a Aluminium Foil Food Containers Recyclable 700ml/24oz (Case of 500),foil,,,Foil,No. 6a Aluminium Food Containers,48mm,""
FOL-RD-32,No.12 Round Aluminium Foil Food Containers Recyclable 920ml/32oz (Case of 400),foil,,,Foil,No.12 Round Aluminium Food Containers,44mm,""
FOL-73,No.9 Deep Aluminium Foil Food Containers Recyclable 2100ml/73oz (Case of 200),foil,,,Foil,No.9 Deep Aluminium Food Containers,50mm,""
FOL-52,No.9 Shallow Aluminium Foil Food Containers Recyclable 1500ml/52oz (Case of 200),foil,,,Foil,No.9 Shallow Aluminium Food Containers,38mm,""
BWL-1000-KR,"PET Kraft Food Bowl Lids For 500, 750 1000ml Recyclable (Case of 300) (149mm Diameter)",pet,,,Kraft,"Food Bowl Lids For 500, 750 ( Diameter)","500ml, 750ml, 1000ml",Recyclable
BOX-1200-KR,PLA Tuck Top Kraft Window Salad Box 1200ml Compostable (Case of 200),"kraft, pla",,,Kraft,Tuck Top Window Salad Box,1200ml,Compostable
BOX-500-KR,PLA Tuck Top Kraft Window Salad Box 500ml Compostable (Case of 200),"kraft, pla",,,Kraft,Tuck Top Window Salad Box,500ml,Compostable
BOX-700-KR,PLA Tuck Top Kraft Window Salad Box 700ml Compostable (Case of 200),"kraft, pla",,,Kraft,Tuck Top Window Salad Box,700ml,Compostable
BOX-900-KR,PLA Tuck Top Kraft Window Salad Box 900ml Compostable (Case of 200),"kraft, pla",,,Kraft,Tuck Top Window Salad Box,900ml,Compostable
BWL-1000-KR-2,"PP Kraft Food Bowl Lids For 500, 750 1000ml Recyclable (Case of 300) (149mm Diameter)",pp,,,Kraft,"Food Bowl Lids For 500, 750 ( Diameter)","500ml, 750ml, 1000ml",Recyclable
CNT-TY-KR,PP Lid for Kraft Paperboard Food Trays – Recyclable,pp,,,Kraft,Lid for Paperboard Food Trays,"",Recyclable
CNT,PP Lid Stagione Recyclable (Case of 300),pp,,,,Lid Stagione,"",Recyclable
BWL-RD-KR-2,PP Lids For Extra Large Round Kraft Food Bowl Recyclable (Case of 300),pp,,,Kraft,Lids For Extra Large Round Food Bowl,1300ml,Recyclable
BWL-168-KR,PP Lids For Large Kraft Round Food Bowl Recyclable (Case of 300) (168mm Diameter) (Dispo),pp,,,Kraft,Lids For Large Round Food Bowl ( Diameter) (Dispo),1090ml,Recyclable
VEG-POT-5,Vegware 0.5oz PLA Cold Portion Pot Compostable,pp,Vegware,,PLA,Cold Portion Pot,"",""
VEG-DEL-10,"Vegware 10oz PLA Bella pot, 96-Series Compostable",pla,Vegware,,PLA,"Bella pot, 96-Series",3oz,Compostable
VEG-SPC-10,"Vegware 10oz Soup Container, 90 Series Compostable","",Vegware,,,"Soup Container, 90 Series","",""
VEG-SPC-10-GN,"Vegware 10oz Soup Container, 90 Series Green Tree Compostable","",Vegware,,,"Soup Container, 90 Series Green Tree","",""
VEG-SPC,Vegware 115-Series Flat Paper Hot Lid Compostable,"paper, pla",Vegware,,Paper,115-Series Flat Hot Lid,"",Compostable
VEG-DEL-12,"Vegware 12oz PLA Bella pot, 96-Series Compostable",pla,Vegware,,PLA,"Bella pot, 96-Series",3oz,Compostable
VEG-DEL-HG-12,Vegware 12oz PLA Hinged Lid Deli Container Compostable,"",Vegware,,PLA,Hinged Lid Deli Container,"",Compostable
VEG-DEL-RD-12,Vegware 12oz PLA Round Deli Container Compostable,"",Vegware,,PLA,Round Deli Container,"",Compostable
VEG-SPC-12,"Vegware 12oz Soup Container, 115 Series Compostable","",Vegware,,,"Soup Container, 115 Series","",""
VEG-SPC-12-GN,"Vegware 12oz Soup Container, 115 Series Green Tree Compostable","",Vegware,,,"Soup Container, 115 Series Green Tree","",""
VEG-CNT-SQ-16-KR,Vegware 16 oz / 500 ml Square Kraft Food Container (Case of 300),pla,Vegware,,Kraft,Square Food Container,"","Compostable, Recyclable"
VEG-BWL-RD-16-BK,Vegware 16oz / 500ml Round Black Food Container Compostable,"",Vegware,Black,,Round Food Container,500ml,Compostable
VEG-DEL-16,"Vegware 16oz PLA Bella pot, 96-Series Compostable",pla,Vegware,,PLA,"Bella pot, 96-Series",3oz,Compostable
VEG-DEL-HG-16,Vegware 16oz PLA Hinged Lid Deli Container Compostable,"",Vegware,,PLA,Hinged Lid Deli Container,"",Compostable
VEG-DEL-RD-16,Vegware 16oz PLA Round Deli Container Compostable,"",Vegware,,PLA,Round Deli Container,"",Compostable
VEG-CNT-RC-16-BK,Vegware 16oz Rectangular Black Food Container Compostable,"",Vegware,Black,,Rectangular Food Container,"",Compostable
VEG-SPC-16-2,"Vegware 16oz Soup Container, 115 Series Compostable","",Vegware,,,"Soup Container, 115 Series","",""
VEG-SPC-16-GN,"Vegware 16oz Soup Container, 115 Series Green Tree Compostable","",Vegware,,,"Soup Container, 115 Series Green Tree","",""
