sku,original_name,original_material,proposed_brand,proposed_colour,proposed_material,proposed_name,size,certifications
NAP-CK-24-WH,"White Premium Tablin Cocktail Napkins 24cm (Case of 2,400)","Airlaid, paper",,White,,Premium Tablin Cocktail Napkins,24cm,Recyclable
BGT-RD-10,10″ Round 3-Compartment Bagasse Plate – Compostable Recyclable,"bagasse, pla, fibre",,,Bagasse,Round 3-Compartment Plate,10″,"Compostable, Recyclable"
BGT-RD-7,7″ Round Bagasse Plate – Compostable Recyclable,"bagasse, pla, fibre",,,Bagasse,Round Plate,"7″, 180 mm","Compostable, Recyclable"
PLF-RC,9.8” X 6” Palm Rectangle Plate Compostable (Case of 100),"",,,Palm Leaf,9.8” 6” Palm Rectangle Plate,"",""
BGT-RD-9,9″ Round Bagasse Plate – Compostable Recyclable,"bagasse, pla, fibre",,,Bagasse,Round Plate,"9″, 225 mm","Compostable, Recyclable"
PLT,Medium Platter Box with Insert Recyclable/Compostable (Case of 50),"kraft, pla",,,,Medium Platter Box with Insert,"",""
PLF-OV,Palm leaf 10 x 6.5 in Oval Plate Compostable (Case of 100),"",,,Palm Leaf,Palm leaf Oval Plate,"",""
PLF-RD-9,Palm Leaf 10in Round Palm Plate Compostable (Case of 100),"",,,Palm Leaf,Palm Leaf Round Palm Plate,"",""
PLF-SQ-6,Palm Leaf 10in Square Palm Plate Compostable (Case of 100),"",,,Palm Leaf,Palm Leaf Square Palm Plate,"",""
PLF-RD-4,Palm Leaf 12in Round Palm Plate Compostable (Case of 100),"",,,Palm Leaf,Palm Leaf Round Palm Plate,"",""
PLF-RD-3,Palm Leaf 3 in Round Palm Bowl Compostable (Case of 100),"",,,Palm Leaf,Palm Leaf Round Palm Bowl,"",""
PLF-RC-2,Palm Leaf 6.5 x 4.5 in Rectangle Plate Compostable (Case of 100),"",,,Palm Leaf,Palm Leaf Rectangle Plate,"",""
PLF,Palm Leaf 6in Heart Palm Dish Compostable (Case of 100),"",,,Palm Leaf,Palm Leaf Heart Palm Dish,"",""
